dataset,class,class_label,unit,geometry,mentions,docs,split,family,cls,as_named,aliases
knowledge attitudes and practices surveys,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""unclear"": 1}",Knowledge Attitudes and Practices surveys,
knso hies,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",KNSO HIES,
kosgeb s sme,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",KOSGEB’s SME data,
kpia report,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""non_spatial"": 1}",the KPIA report,
kplc and kengen reports,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",KPLC and KenGen annual reports 2017,
ktb mrv and issuance records,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""non_spatial"": 1}",KTB MRV and issuance records,
ktb mrv onboarding/registration records,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""unclear"": 1}",KTB MRV onboarding/registration records,
ktb records,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""unclear"": 1}",KTB records,
ktz progress reports,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""admin_linked"": 1}",KTZ progress reports,
kwenda beneficiary registry,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,"household or phone survey, registry / administrative database","{""unclear"": 1}",Kwenda beneficiary registry,
kyeop,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}",KYEOP,
l enqu te sur l emploi et le secteur informel (essi ),non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,"household or phone survey, official statistics series","{""non_spatial"": 1}",l’Enquête sur l’Emploi et le Secteur informel (ESSI 2005),
l2cu,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}",2019 L2CU data,
labor,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""non_spatial"": 1}",Labor database,
labor force survey in kosovo,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"household or phone survey, official statistics series","{""admin_linked"": 1}",Labor Force Survey in Kosovo,
labor market bulletin,non_spatial,no place,—,unknown,1,1,False,"official statistics series, monitoring / tracking system, facility / asset / infrastructure records","{""non_spatial"": 1}",Labor Market Bulletin 2021,
labor market data from august,unclear,place not stated,—,unknown,1,1,False,"official statistics series, facility / asset / infrastructure records","{""unclear"": 1}",labor market data from August 2022,
labor market diagnostics,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,"official statistics series, facility / asset / infrastructure records","{""unclear"": 1}",labor market diagnostics,
labor market information system,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"official statistics series, facility / asset / infrastructure records","{""admin_linked"": 1}",labor market information system,
labor market needs assessment,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,"household or phone survey, official statistics series, facility / asset / infrastructure records","{""non_spatial"": 1}",2023 Labor Market Needs Assessment,
labor market statistics,unclear,place not stated,—,unknown,1,1,False,"official statistics series, facility / asset / infrastructure records","{""unclear"": 1}",Annual labor market statistics,
labor market study,non_spatial,no place,—,unknown,1,1,False,"official statistics series, facility / asset / infrastructure records","{""non_spatial"": 1}",2016 Labor Market Study,
labor survey,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""unclear"": 1}",labor survey,
laboratory facility,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,registry / administrative database,"{""point_geocoded"": 1}",laboratory facility database,
labour force statistics,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,"official statistics series, registry / administrative database","{""non_spatial"": 1}",Labour Force Statistics database,
labour force survey,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,"household or phone survey, official statistics series","{""unclear"": 1}",Labour force survey,
lageo hr,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",LaGeo HR data,
land,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"named source, family not stated","{""point_geocoded"": 1}",land data,
land acquisition report and land acquisition drawings,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"facility / asset / infrastructure records, mapped layer / geospatial product","{""point_geocoded"": 1}",Land Acquisition Report and Land Acquisition Drawings,
land cadaster,admin_linked,named area,district / sub-county,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",land cadaster,
land cadastre,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,registry / administrative database,"{""point_geocoded"": 1}",land cadastre,
land classification map,admin_linked,named area,country only,yes — coordinates or a layer exists,1,1,False,mapped layer / geospatial product,"{""admin_linked"": 1}",land classification map,
land consolidation information system,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"named source, family not stated","{""point_geocoded"": 1}",land consolidation information system,
land consolidation system,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"named source, family not stated","{""point_geocoded"": 1}",land consolidation system,
land degradation,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,mapped layer / geospatial product,"{""point_geocoded"": 1}",land degradation data,
land information system,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"named source, family not stated","{""point_geocoded"": 1}",Land Information System,
land ownership,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,facility / asset / infrastructure records,"{""point_geocoded"": 1}",land ownership data,
land parcel,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,facility / asset / infrastructure records,"{""point_geocoded"": 1}",land parcel data,
land parcel identification system,admin_linked,named area,point,maybe — needs the survey's own geography,1,1,False,"registry / administrative database, facility / asset / infrastructure records","{""admin_linked"": 1}",Land Parcel Identification System,
land record system,admin_linked,named area,district / sub-county,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",land record system,
land register and cadaster,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"named source, family not stated","{""point_geocoded"": 1}",land register and cadaster,
land registry and cadaster,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,registry / administrative database,"{""point_geocoded"": 1}",land registry and cadaster data,
land registry and cadaster information,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,registry / administrative database,"{""point_geocoded"": 1}",land registry and cadaster information,
land resource inventory atlas,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",Land Resource Inventory Atlas,
